Date,Open,High,Low,Close,Volume
2026-07-20,0.1662,0.172,0.1607,0.1698,138663569.7
2026-07-21,0.1697,0.1777,0.1694,0.1737,135418549.9
2026-07-22,0.1737,0.1808,0.1704,0.1745,89472842.7
2026-07-23,0.1745,0.1767,0.1681,0.1685,64479935.5
2026-07-24,0.1685,0.1686,0.1627,0.164,59769745.7
2026-07-25,0.164,0.167,0.1615,0.1648,36423003.4
2026-07-26,0.1649,0.1667,0.1641,0.166,34425025.5
2026-07-27,0.1661,0.1673,0.1537,0.1556,100757607.0
2026-07-28,0.1556,0.1635,0.1533,0.162,121091523.6
2026-07-29,0.162,0.1691,0.1604,0.1621,130884238.8
2026-07-30,0.1621,0.1763,0.1615,0.1697,147709871.7
2026-07-31,0.1697,0.1727,0.1665,0.1682,99443603.7
2026-08-01,0.1683,0.1769,0.1682,0.1744,98970343.4
2026-08-02,0.1744,0.1922,0.1728,0.1895,244403642.4
2026-08-03,0.1895,0.1963,0.1815,0.1937,219613222.2
2026-08-04,0.1936,0.1994,0.1911,0.193,155645634.0
2026-08-05,0.1929,0.199,0.1886,0.1911,129046946.6
2026-08-06,0.1912,0.2117,0.1859,0.2012,267789589.2
2026-08-07,0.2012,0.204,0.1966,0.2008,126484609.3
2026-08-08,0.2009,0.2024,0.1976,0.1995,49379243.6
2026-08-09,0.1996,0.2,0.1934,0.1945,60378278.1
2026-08-10,0.1944,0.1993,0.1908,0.191,68750303.3
2026-08-11,0.1909,0.1916,0.1837,0.1871,85925476.5
2026-08-12,0.1871,0.1885,0.1806,0.1826,66565252.5
2026-08-13,0.1826,0.1867,0.1813,0.1834,31990899.0
