Date,Open,High,Low,Close,Volume
2026-07-15,581.88,585.3,575.8,580.55,112895.857
2026-07-16,580.56,585.87,571.69,572.45,86349.243
2026-07-17,572.45,574.84,555.59,568.09,142665.191
2026-07-18,568.09,572.75,566.25,570.65,62539.543
2026-07-19,570.66,572.61,566.33,571.06,55097.203
2026-07-20,571.06,575.91,562.97,571.27,102746.807
2026-07-21,571.28,579.79,570.75,573.95,102980.464
2026-07-22,573.96,575.63,566.89,571.08,84883.996
2026-07-23,571.09,572.24,563.71,567.41,70606.245
2026-07-24,567.41,571.31,556.0,564.9,92488.873
2026-07-25,564.91,570.0,563.9,568.94,53397.275
2026-07-26,568.94,576.57,568.94,575.32,65829.015
2026-07-27,575.31,577.2,565.4,566.28,80438.84
2026-07-28,566.28,575.66,562.03,571.29,85096.072
2026-07-29,571.29,573.56,565.27,571.99,73479.164
2026-07-30,571.99,596.0,571.05,591.99,143197.779
2026-07-31,591.99,595.5,583.99,587.01,118480.803
2026-08-01,587.01,592.8,573.5,575.13,105246.302
2026-08-02,575.14,590.99,574.03,588.46,77728.453
2026-08-03,588.46,594.32,581.03,589.35,86837.856
2026-08-04,589.35,594.96,588.0,593.18,72215.24
2026-08-05,593.19,605.5,591.79,593.85,134610.256
2026-08-06,593.86,598.32,589.95,592.39,75644.298
2026-08-07,592.4,594.68,585.3,592.57,93501.749
2026-08-08,592.57,612.0,590.65,600.66,103985.027
2026-08-09,600.66,611.55,600.21,602.23,84429.789
2026-08-10,602.22,606.84,597.32,599.23,88229.74
2026-08-11,599.24,617.73,598.46,616.69,142486.98
2026-08-12,616.69,620.55,608.83,610.44,105546.461
2026-08-13,610.44,614.99,607.77,609.62,38996.718
